threads,time,speedup
1,46.4602,1.0
2,24.6295,1.8863639131935281
3,18.209,2.551496512713493
4,15.5096,2.9955769329963378
5,13.0882,3.549777662321786
6,11.5144,4.034964913499618
7,10.8696,4.274324722160889
8,10.054,4.621066242291625
9,10.1284,4.587121361715573
10,10.052,4.621985674492638
